0,1,50
1,2,90
2,0,50
2,3,140
3,4,800
4,5,900
5,6,1000
6,7,900
7,8,1000
8,9,700
9,10,100
10,11,600
11,12,300
12,13,1000
13,14,1300
14,15,80
15,16,1000
16,17,90
17,18,100
18,19,500
19,20,300
20,21,100
21,22,600
22,23,100
20,24,1000
21,22,100
22,23,400
23,24,25
24,25,100
25,26,70
26,27,25
27,28,200
28,29,100
29,30,25
30,31,100
31,32,1000
32,33,100
33,34,100
34,35,200
35,36,100
36,37,600
37,38,100
38,39,25
39,40,100
40,41,400
41,42,500
42,43,1000
43,44,100
44,45,300
45,46,100
46,47,100
47,48,1000
48,49,400
49,50,100
50,51,1700
51,52,400
52,53,500
53,54,1400
54,55,1000
55,56,1200
56,57,1500
57,58,1800
