0,1,50
1,2,90
2,0,50
2,3,140
3,4,800
4,5,900
5,6,1000
6,7,900
7,8,1000
8,9,700
9,10,100
10,11,600
11,12,300
12,13,1000
13,14,1300
14,15,80
15,16,1000
16,17,90
17,18,100
18,19,500
19,20,300
20,21,100
21,22,600
22,23,100
20,24,1000
23,24,25
24,25,100
25,26,70
26,27,25
27,28,200
28,29,100
29,30,25
30,31,100
31,32,1000
32,33,100
33,32,100
33,34,100
34,35,200
35,36,100
36,37,600
37,38,100
38,39,25
39,40,100
40,41,400
41,42,500
42,43,1000
43,44,100
44,45,300
45,46,100
46,47,100
47,48,1000
48,49,400
49,50,100
50,51,1700
51,52,400
52,53,500
53,54,1400
54,55,1000
55,56,1200
56,57,1500
57,58,1800
59,57,200
1,0,50
2,1,90
0,2,50
3,2,140
4,3,800
5,4,900
6,5,1000
7,6,900
8,7,1000
9,8,700
10,9,100
11,10,600
12,11,300
13,12,1000
14,13,1300
15,14,80
16,15,1000
17,16,90
18,17,100
19,18,500
20,19,300
21,20,100
20,24,1000
22,21,600
23,22,100
24,23,25
25,24,100
26,25,70
27,26,25
28,27,200
29,28,100
30,29,25
31,30,100
32,31,1000
34,33,100
35,34,200
36,35,100
37,36,600
38,37,100
39,38,25
40,39,100
41,40,400
42,41,500
43,42,1000
44,43,100
45,44,300
46,45,100
47,46,100
48,47,1000
49,48,400
50,49,100
51,50,1700
52,51,400
53,52,500
54,53,1400
55,54,1000
56,55,1200
57,56,1500
58,57,1800
57,59,200
